"sku","barcode","name","description","client_owner_id","product_family","velocity_class","unit_cost","minimum_stock_level","maximum_stock_level","pick_down_to_level","supplier_lead_time_days","temperature_requirement","lot_tracked","batch_tracked","expiry_tracked","rotation_method","active"
"AJD15180899","D15180899","7.25 X 3 Cake Container With Black Base 50/Cs","","","Disposables : Containers","","12.75","","","","","","","","","","true"
"AJD15180899V","D15180899VD","7.25 X 3 High Vis Cake Cont With Deep Black Base 50/Cs","","","Disposables : Containers","","9.44","","","","","","","","","","true"
"AJD15220899","D15220899","8 X 3 Cake Container With Black Base    50/Cs","","","Disposables : Containers","","18.97","","","","","","","","","","true"
"AJD1522109","D15221099VD","8 X 4 High Vis Cake Cont W/ Deep Black Base   50/Cs","","","Disposables : Containers","","11.19","","","","","","","","","","true"
"AJD15221099","D15221099","8 X 4 Cake Container With Black Base  50/Cs","","","Disposables : Containers","","19.63","","","","","","","","","","true"
"AJD15221299","D15221299","8 X 5 Cake Container With Black Base   50/Cs","","","Disposables : Containers","","21.45","","","","","","","","","","true"
"AJD15251299","D15251299","10 X 4 Cake Container With Black Base    50/Cs","","","Disposables : Containers","","27.03","","","","","","","","","","true"
"AJD15251299M","D15251299M","10 X 4 Half Cake Container With Black Base   50/Cs","","","Disposables : Containers","","24.85","","","","","","","","","","true"
"AJD15281099","D15281099","11 X 4 Cake Container With Black Base    50/Cs","","","Disposables : Containers","","22","","","","","","","","","","true"
"AJD16270599","D16270599","Square Cake Container W/Black Base (6.5 X 2 1/8) 150/Cs","","","Disposables : Containers","","43.44","","","","","","","","","","true"
"AJD16490899","D16490899","Oblong Cake Container W/ Black Base ( 8 X 4.75 )  50/Cs","","","Disposables : Containers","","20.45","","","","","","","","","","true"
"AJD16630899","D16630899V","Oblong Cake Container W/Black Base (13.25 X 5 5/7 X 3) 50/Cs","","","Disposables : Containers","","26.03","","","","","","","","","","true"
"AJD16700599W","D16700599W","Square Cake Container W/Black Base (10 7/16 X 2 1/8) 25/Cs","","","Disposables : Containers","","20.58","","","","","","","","","","true"
"AJD210410B","D210410B","(4-1) 4D Yellow Dry Fresh Foam Tray (9.5 X 7 X 1.25) 500/Bale","","","Disposables","","77.6","","","","","","","","","","true"
"AJD210710B","D210710B","(7-1) 2D Yellow Dry Fresh Foam Tray (5.75X8.5X1.3) 500/Bale","","","Disposables","","57.69","","","","","","","","","","true"
"AJD7100800","D7100800","1/4 lb Clear Airpack Container ( 5 5/6 X 3.5 X 2 ) 200/Cs","","","Disposables : Containers","","17.83","","","","","","","","","","true"
"AJD7101600","D7101600","1/2 lb Clear Airpack Container ( 5 5/6 X 3.5 X 3 3/8 ) 200/Cs","","","Disposables : Containers","","22.69","","","","","","","","","","true"
"AJD7103","D7103200","1 lb Clear Airpack Container ( 7 1/8 X 5.5 X 3 3/8 ) 200/Cs","","","Disposables : Containers","","42.08","","","","","","","","","","true"
"AJD7112000","D7112000","Visual Pack H-Lid Container ( 5 X 5 X 2.5  ) 200/Cs","","","Disposables : Containers","","24.11","","","","","","","","","","true"
"AJD7113400D","D7113400D","Oval 3-Comp Clear Container (9 X 5.7 X 1.8) 100/Pk 3Pks/Cs","","","Disposables : Containers","","46.89","","","","","","","","","","true"
"AJD7113400T","D7113400T","Clear Lid For Oval 3-Comp Container 100/Pk 3Pks/Cs","","","Disposables : Containers","","34.53","","","","","","","","","","true"
"AJD720VI1","D720VI100TB","Visual Pack H-Lid Container ( 7.25 X 4.75 X 2 )  200/Cs","","","Disposables : Containers","","18.29","","","","","","","","","","true"
"AJD720VN100T","D720VN100TA","Visual Pack H-Lid Container ( 9 7/8 X 7.5 X 4 3/8 ) 200/Cs","","","Disposables : Containers","","59.27","","","","","","","","","","true"
"AJD720VX100","D720VX100","Visual Pack H-Lid Container ( 12 X 9 X 3 ) 100/Cs","","","Disposables : Containers","","31.39","","","","","","","","","","true"
"AJD7302501T","D7302501T","White Lid For High Impact Containers   20/Pk 25Pks/Cs","","","Disposables : Containers","","32.12","","","","","","","","","","true"
