"sku","barcode","name","description","client_owner_id","product_family","velocity_class","unit_cost","minimum_stock_level","maximum_stock_level","pick_down_to_level","supplier_lead_time_days","temperature_requirement","lot_tracked","batch_tracked","expiry_tracked","rotation_method","active"
"UGGS0014","GS0014","Unicare Latex Powder Free Exam Gloves - Large  10/100","","","Institutional Supplies : Personal Protection","","22.08","","","","","ambient","true","true","true","fefo","true"
"UGGS0015","GS0015","Unicare Latex Powder Free Exam Gloves - X-Large  10/100","","","Institutional Supplies : Personal Protection","","25","","","","","ambient","true","true","true","fefo","true"
"UGGS0032","GS0032","Unicare Nitrile Powder Free Exam Gloves - Small  10/100","","","Institutional Supplies : Personal Protection","","14.56","","","","","ambient","true","true","true","fefo","true"
"UGGS0033","GS0033","Unicare Nitrile Powder Free Exam Gloves - Medium  10/100","","","Institutional Supplies : Personal Protection","","14.56","","","","","ambient","true","true","true","fefo","true"
"UGGS0034","GS0034","Unicare Nitrile Powder Free Exam Gloves - Large  10/100","","","Institutional Supplies : Personal Protection","","14.56","","","","","ambient","true","true","true","fefo","true"
"UGGS0035","GS0035","Unicare Nitrile Powder Free Exam Gloves - X Large  10/100","","","Institutional Supplies : Personal Protection","","14.56","","","","","ambient","true","true","true","fefo","true"
"UGGS0042","GS0042","Unicare Nitrile Powder Free Exam Gloves - Small  10/200","","","Institutional Supplies : Personal Protection","","26.63","","","","","ambient","true","true","true","fefo","true"
"UGGS0045","GS0045","Unicare Nitrile Powder Free Exam Gloves - Xlarge  10/200","","","Institutional Supplies : Personal Protection","","26.63","","","","","ambient","true","true","true","fefo","true"
"UGGS0062","GS0062","Unicare Vinyl Powder-Free Gloves - Small   10/100","","","Institutional Supplies : Personal Protection","","9.8","","","","","ambient","true","true","true","fefo","true"
"UGGS0063","GS0063","Unicare Vinyl Powder-Free Gloves - Medium   10/100","","","Institutional Supplies : Personal Protection","","10.1","","","","","ambient","true","true","true","fefo","true"
"UGGS0064","GS0064","Unicare Vinyl Powder-Free Gloves - Large   10/100","","","Institutional Supplies : Personal Protection","","9.8","","","","","ambient","true","true","true","fefo","true"
"UGGS0065","GS0065","Unicare Vinyl Powder-Free Gloves - X-Large   10/100","","","Institutional Supplies : Personal Protection","","9.8","","","","","ambient","true","true","true","fefo","true"
"UGGS0083","GS0083","Unicare Vinyl Blue Powder-Free Gloves - Medium   10/200","","","Institutional Supplies : Personal Protection","","10.1","","","","","ambient","true","true","true","fefo","true"
"UGGS0085","GS0085","Unicare Vinyl Blue Powder-Free Gloves - X-Large   10/100","","","Institutional Supplies : Personal Protection","","10.1","","","","","ambient","true","true","true","fefo","true"
"UGNRL50N-07","NRL50N-07","Unicare Latex Powder Free Gloves - Small  10/100","","","Institutional Supplies : Personal Protection","","25.5","","","","","ambient","true","true","true","fefo","true"
"UGNRL50N-08","NRL50N-08","Unicare Latex Powder Free Gloves - Medium  10/100","","","Institutional Supplies : Personal Protection","","27","","","","","ambient","true","true","true","fefo","true"
"UGNRL50N-09","NRL50N-09","Unicare Latex Powder Free Gloves - Large  10/100","","","Institutional Supplies : Personal Protection","","25.5","","","","","ambient","true","true","true","fefo","true"
"UGNRL50N-10","NRL50N-10","Unicare Latex Powder Free Gloves - X-Large  10/100","","","Institutional Supplies : Personal Protection","","25.5","","","","","ambient","true","true","true","fefo","true"
"WNBA-HN","BA-HN","Heavy Naugahyde Vinyl Apron With 1 Pocket - Black  12/Cs","","","Institutional Supplies : Personal Protection","","9.28","","","","","ambient","true","true","true","fefo","true"
"WNBAW-2540BK","BAW-2540BK","Dishwashing Lightweight Vinyl Apron - Black (25.5X40) 12/Cs","","","Institutional Supplies : Personal Protection","","8.69","","","","","ambient","true","true","true","fefo","true"
"WNBAW-2740BN","BAW-2740N","Dishwashing Heavyweight Vinyl Apron - Brown (27.5X40) 12/Cs","","","Institutional Supplies : Personal Protection","","7.45","","","","","ambient","true","true","true","fefo","true"
"WNCB-6K","CB-6K","6-Slot Vinyl Coated Cutting Board Rack      10/Cs","","","Institutional Supplies : Foodservice","","10.9","","","","","ambient","true","true","true","fefo","true"
"WNNLG-1018","NLG-1018","Black Latex Dishwashing Gloves - Large 12-Pairs/Cs","","","Institutional Supplies : Personal Protection","","7.79","","","","","ambient","true","true","true","fefo","true"
"WNNLG-816","NLG-816","Yellow Latex Dishwashing Gloves - Small 12-Pairs/Cs","","","Institutional Supplies : Personal Protection","","6.4","","","","","ambient","true","true","true","fefo","true"
"WNNLG-916","NLG-916","Yellow Latex Dishwashing Gloves - Medium 12-Pairs/Cs","","","Institutional Supplies : Personal Protection","","6.84","","","","","ambient","true","true","true","fefo","true"
"CBYKN95-V","CBKN95","Cove Bay White KN95 Face Mask With Valve ( Dust )","","","Institutional Supplies : Personal Protection","","0.1","","","","","ambient","true","true","true","fefo","true"
"GJMASK01BL-5","MASK-02BL-50","Wellday 50Pk Surgical Mask - Blue 40-Bxs/Cs","","","Institutional Supplies : Personal Protection","","1.55","","","","","ambient","true","true","true","fefo","true"
"SZGRPR-XS","GRPR-XS-1-T","Latex Powder-Free Gloves X-Small 10/100","","","Institutional Supplies : Personal Protection","","34.06","","","","","ambient","true","true","true","fefo","true"
"SZM844","M844","Clear Vinyl Reusable 8 Mil Apron ( 36 X 44 ) 72/Cs","","","Institutional Supplies : Personal Protection","","174.6","","","","","ambient","true","true","true","fefo","true"
"UGGS0031","GS0031","Unicare Nitrile Powder Free Exam Gloves - X-Small 10/100","","","Institutional Supplies : Personal Protection","","19.35","","","","","ambient","true","true","true","fefo","true"
"UGNBR30B-08","NBR30B-08","Unicare Nitrile Powder Free Exam Gloves - Med 10/100","","","Institutional Supplies : Personal Protection","","23.26","","","","","ambient","true","true","true","fefo","true"
"UGNBR30B-09","NBR30B-09","Unicare Nitrile Powder Free Exam Gloves - Large 10/100","","","Institutional Supplies : Personal Protection","","23.26","","","","","ambient","true","true","true","fefo","true"
"UGNBR30B-10","NBR30B-10","Unicare Nitrile Powder Free Exam Gloves -X-Large 10/100","","","Institutional Supplies : Personal Protection","","23.26","","","","","ambient","true","true","true","fefo","true"
